customerid,tenure,monthlycharges,total_value,contract,churn
2265-CYWIV,4,99.6,398.4,Month-to-month,1
6689-TCZHQ,5,78.95,394.75,Month-to-month,1
1569-TTNYJ,5,78.75,393.75,Month-to-month,1
6175-IRFIT,5,78.75,393.75,Month-to-month,0
7295-JOMMD,4,98.1,392.4,Month-to-month,1
6108-OQZDQ,4,97.95,391.8,Month-to-month,1
8098-LLAZX,4,95.45,381.8,Month-to-month,1
9714-EDSUC,4,94.9,379.6,Month-to-month,0
3074-GQWYX,5,75.9,379.5,Month-to-month,1
6350-XFYGW,4,94.75,379.0,Month-to-month,0
6034-YMTOB,5,75.65,378.25,Month-to-month,0
6198-ZFIOJ,5,75.6,378.0,Month-to-month,0
9250-WYPLL,5,75.55,377.75,Month-to-month,1
0506-LVNGN,5,75.55,377.75,Month-to-month,1
9763-PDTKK,4,94.4,377.6,Month-to-month,1
1374-DMZUI,4,94.3,377.2,Month-to-month,1
0867-LDTTC,5,75.15,375.75,Month-to-month,0
1731-TVIUK,4,93.5,374.0,Month-to-month,1
5399-ZIMKF,5,74.65,373.25,Month-to-month,0
5956-VKDTT,5,74.35,371.75,Month-to-month,1
6892-EZDTG,4,91.65,366.6,Month-to-month,1
5339-PXDVH,4,90.65,362.6,Month-to-month,0
8266-VBFQL,4,90.4,361.6,Month-to-month,0
4228-ZGYUW,4,90.05,360.2,Month-to-month,1
9565-DJPIB,4,89.6,358.4,Month-to-month,1
3420-ZDBMA,5,71.45,357.25,Month-to-month,0
2865-TCHJW,4,89.2,356.8,Month-to-month,1
4951-UKAAQ,4,88.95,355.8,Month-to-month,1
1273-MTETI,4,88.85,355.4,Month-to-month,1
7228-OMTPN,4,88.45,353.8,Month-to-month,1
2815-CPTUL,5,70.25,351.25,Month-to-month,1
6705-LXORM,5,70.05,350.25,Month-to-month,0
6715-OFDBP,5,70.05,350.25,Month-to-month,1
9430-FRQOC,4,87.1,348.4,Month-to-month,1
2038-OEQZH,4,86.05,344.2,Month-to-month,0
4952-YSOGZ,4,85.95,343.8,Month-to-month,1
7488-MXJIV,4,85.65,342.6,Month-to-month,1
0697-ZMSWS,4,85.65,342.6,Month-to-month,1
0219-YTZUE,4,84.8,339.2,Month-to-month,1
4750-ZRXIU,4,84.6,338.4,Month-to-month,1
1565-RHDJD,4,84.05,336.2,Month-to-month,1
6630-UJZMY,4,83.25,333.0,Month-to-month,0
8714-CTZJW,4,82.85,331.4,Month-to-month,0
2612-RRIDN,4,81.0,324.0,Month-to-month,1
5760-IFJOZ,3,107.95,323.85,Month-to-month,0
2081-VEYEH,3,107.95,323.85,Month-to-month,0
5729-KLZAR,4,80.85,323.4,Month-to-month,1
2951-QOQTK,4,80.8,323.2,Month-to-month,1
3671-SHRSP,4,80.6,322.4,Month-to-month,1
2959-MJHIC,4,80.35,321.4,Month-to-month,1
2674-MIAHT,4,80.3,321.2,Month-to-month,0
1251-STYSZ,4,80.25,321.0,Month-to-month,0
0793-TWELN,4,80.15,320.6,Month-to-month,0
3904-UKFRE,4,80.1,320.4,Month-to-month,0
4806-KEXQR,4,79.9,319.6,Month-to-month,1
1400-MMYXY,3,105.9,317.70000000000005,Month-to-month,1
4210-QFJMF,4,79.15,316.6,Month-to-month,1
5052-PNLOS,3,105.35,316.04999999999995,Month-to-month,1
8752-STIVR,4,79.0,316.0,Month-to-month,1
3855-ONCAR,4,78.9,315.6,Month-to-month,0
9231-ZJYAM,4,78.85,315.4,Month-to-month,1
6496-SLWHQ,3,105.0,315.0,Month-to-month,1
3249-ZPQRG,4,78.45,313.8,Month-to-month,1
7786-WBJYI,4,77.95,311.8,Month-to-month,1
6376-GAHQE,4,77.85,311.4,Month-to-month,1
2919-HBCJO,4,76.65,306.6,Month-to-month,1
5299-SJCZT,3,101.55,304.65,Month-to-month,1
8443-ZRDBZ,4,76.05,304.2,Month-to-month,1
6023-YEBUP,3,100.95,302.85,Month-to-month,1
4749-OJKQU,4,75.65,302.6,Month-to-month,0
1602-IJQQE,4,75.35,301.4,Month-to-month,1
0221-WMXNQ,4,75.35,301.4,Month-to-month,0
9274-CNFMO,4,74.95,299.8,Month-to-month,1
0722-TROQR,4,74.9,299.6,Month-to-month,1
2984-MIIZL,4,74.8,299.2,Month-to-month,1
7341-LXCAF,4,74.65,298.6,Month-to-month,1
1197-BVMVG,4,74.45,297.8,Month-to-month,0
8640-SDGKB,4,74.4,297.6,Month-to-month,1
8361-LTMKD,4,74.4,297.6,Month-to-month,1
8083-YTZES,4,74.35,297.4,Month-to-month,1
6956-SMUCM,3,99.0,297.0,Month-to-month,1
7938-OUHIO,3,98.7,296.1,Month-to-month,1
0004-TLHLJ,4,73.9,295.6,Month-to-month,1
4585-HETAI,4,73.75,295.0,Month-to-month,1
0329-GTIAJ,3,97.9,293.70000000000005,Month-to-month,1
0581-BXBUB,4,72.75,291.0,Month-to-month,0
9057-SIHCH,3,96.6,289.79999999999995,Month-to-month,1
8111-RKSPX,4,72.2,288.8,Month-to-month,1
2984-AFWNC,3,95.4,286.20000000000005,Month-to-month,0
3049-SOLAY,3,95.2,285.6,Month-to-month,1
9944-HKVVB,3,95.1,285.29999999999995,Month-to-month,1
7398-SKNQZ,3,94.9,284.70000000000005,Month-to-month,0
5150-ITWWB,3,94.85,284.54999999999995,Month-to-month,0
5567-WSELE,3,94.6,283.79999999999995,Month-to-month,1
3376-BMGFE,4,70.9,283.6,Month-to-month,1
0644-OQMDK,4,70.65,282.6,Month-to-month,0
3496-LFSZU,4,70.5,282.0,Month-to-month,0
4763-PGDPO,4,70.4,281.6,Month-to-month,1
7044-YAACC,4,70.2,280.8,Month-to-month,0
2568-BRGYX,4,70.2,280.8,Month-to-month,1
9408-SSNVZ,4,70.15,280.6,Month-to-month,1
2608-BHKFN,4,70.05,280.2,Month-to-month,1
3318-NMQXL,3,92.0,276.0,Month-to-month,0
5442-UTCVD,3,91.85,275.54999999999995,Month-to-month,1
5095-AESKG,3,91.5,274.5,Month-to-month,1
1389-CXMLU,3,91.05,273.15,Month-to-month,1
0432-CAJZV,3,90.7,272.1,Month-to-month,0
0258-NOKBL,3,90.4,271.20000000000005,Month-to-month,0
3071-VBYPO,3,89.85,269.54999999999995,Month-to-month,0
7952-OBOYL,3,89.85,269.54999999999995,Month-to-month,0
9611-CTWIH,3,89.45,268.35,Month-to-month,1
0772-GYEQQ,3,88.35,265.04999999999995,Month-to-month,1
4184-TJFAN,3,88.3,264.9,Month-to-month,1
4140-MUHUG,3,86.85,260.54999999999995,Month-to-month,1
1212-GLHMD,3,86.05,258.15,Month-to-month,0
0378-TOVMS,3,85.8,257.4,Month-to-month,1
3916-NRPAP,3,85.7,257.1,Month-to-month,0
8593-WHYHV,3,85.3,255.9,Month-to-month,1
3198-VELRD,3,84.75,254.25,Month-to-month,1
0225-ZORZP,3,84.3,252.9,Month-to-month,0
0013-EXCHZ,3,83.9,251.7,Month-to-month,1
0923-PNFUB,3,83.75,251.25,Month-to-month,1
0641-EVBOJ,3,82.3,246.9,Month-to-month,0
0334-GDDSO,3,81.35,244.05,Month-to-month,1
3191-CSNMG,3,80.7,242.1,Month-to-month,0
6357-JJPQT,3,80.5,241.5,Month-to-month,0
4086-YQSNZ,3,80.4,241.2,Month-to-month,1
2789-HQBOU,3,80.35,241.05,Month-to-month,0
9897-KXHCM,3,80.3,240.9,Month-to-month,1
6204-IEUXJ,3,80.1,240.3,Month-to-month,1
9643-AVVWI,3,80.0,240.0,Month-to-month,0
6161-UUUTA,3,79.9,239.7,Month-to-month,1
4290-BSXUX,3,79.65,238.95,Month-to-month,1
7074-IEVOJ,3,79.4,238.2,Month-to-month,1
1678-FYZOW,3,79.4,238.2,Month-to-month,1
6110-OHIHY,3,79.25,237.75,Month-to-month,1
4587-NUKOX,3,79.1,237.3,Month-to-month,1
9837-BMCLM,3,78.5,235.5,Month-to-month,1
8543-MSDMF,3,77.4,232.2,Month-to-month,0
8258-GSTJK,3,77.0,231.0,Month-to-month,1
5835-BEQEU,3,76.95,230.85,Month-to-month,1
3370-HXOPH,3,76.1,228.3,Month-to-month,0
7576-OYWBN,3,76.05,228.15,Month-to-month,1
3519-ZKXGG,3,75.85,227.55,Month-to-month,1
4581-SSPWD,3,75.8,227.4,Month-to-month,1
1320-HTRDR,3,75.5,226.5,Month-to-month,1
5122-CYFXA,3,75.3,225.9,Month-to-month,0
0925-VYDLG,3,75.25,225.75,Month-to-month,1
5570-PTWEH,3,75.15,225.45,Month-to-month,1
2276-YDAVZ,3,75.1,225.3,Month-to-month,1
1980-KXVPM,3,75.05,225.15,Month-to-month,1
3966-HRMZA,3,75.05,225.15,Month-to-month,0
8676-TRMJS,3,75.0,225.0,Month-to-month,1
4090-KPJIP,3,74.95,224.85,Month-to-month,0
6424-ELEYH,3,74.75,224.25,Month-to-month,1
2800-VEQXM,3,74.75,224.25,Month-to-month,0
3411-WLRSQ,3,74.6,223.8,Month-to-month,0
2325-NBPZG,3,74.55,223.65,Month-to-month,0
7823-JSOAG,3,74.5,223.5,Month-to-month,0
9398-MMQTO,3,74.45,223.35,Month-to-month,0
6680-WKXRZ,3,74.4,223.2,Month-to-month,1
0404-SWRVG,3,74.4,223.2,Month-to-month,1
9306-CPCBC,3,74.25,222.75,Month-to-month,1
9850-OWRHQ,3,74.1,222.3,Month-to-month,1
4854-CIDCF,3,73.85,221.55,Month-to-month,0
8617-ENBDS,3,73.6,220.8,Month-to-month,0
2710-WYVXG,3,71.1,213.3,Two year,0
0734-OXWBT,3,70.7,212.1,Month-to-month,0
2055-PDADH,3,70.4,211.2,Month-to-month,1
6168-WFVVF,3,70.3,210.9,Month-to-month,1
7379-POKDZ,3,70.3,210.9,Month-to-month,1
4029-HPFVY,3,70.3,210.9,Month-to-month,0
9633-XQABV,3,70.25,210.75,Month-to-month,0
6077-BDPXA,3,70.15,210.45,Month-to-month,0
1875-QIVME,2,104.4,208.8,Month-to-month,1
7379-FNIUJ,2,100.2,200.4,Month-to-month,0
6645-MXQJT,2,97.1,194.2,Month-to-month,0
3158-MOERK,2,96.0,192.0,Month-to-month,1
0754-UKWQP,2,95.85,191.7,Month-to-month,1
8413-VONUO,2,95.65,191.3,Month-to-month,1
4929-XIHVW,2,95.5,191.0,Month-to-month,0
7851-WZEKY,2,95.15,190.3,Month-to-month,1
5649-ANRML,2,95.1,190.2,Month-to-month,1
5349-IECLD,2,94.95,189.9,Month-to-month,1
3006-XIMLN,2,94.2,188.4,Month-to-month,1
7218-HKQFK,2,94.2,188.4,Month-to-month,1
2720-WGKHP,2,94.0,188.0,Month-to-month,1
7024-OHCCK,2,93.85,187.7,Month-to-month,1
4424-TKOPW,2,93.85,187.7,Month-to-month,1
4927-WWOOZ,2,91.45,182.9,Month-to-month,0
9546-CQJSU,2,91.4,182.8,Month-to-month,1
5091-HFAZW,2,91.15,182.3,Month-to-month,0
4137-BTIKL,2,90.75,181.5,Month-to-month,0
2034-GDRCN,2,90.4,180.8,Month-to-month,1
0139-IVFJG,2,90.35,180.7,Month-to-month,0
3703-VAVCL,2,90.0,180.0,Month-to-month,1
2074-GKOWZ,2,89.55,179.1,Month-to-month,1
5644-PDMZC,2,89.5,179.0,Month-to-month,1
4695-WJZUE,2,88.55,177.1,Month-to-month,1
5318-IXUZF,2,87.15,174.3,Month-to-month,1
3097-NQYSN,2,86.85,173.7,Month-to-month,1
0133-BMFZO,2,86.25,172.5,Month-to-month,1
6275-YDUVO,2,86.2,172.4,Month-to-month,1
6474-FVJLC,2,86.0,172.0,Month-to-month,1
0220-EBGCE,2,85.85,171.7,Month-to-month,1
1143-NMNQJ,2,85.7,171.4,Month-to-month,1
0259-GBZSH,2,85.65,171.3,Month-to-month,1
5277-ZLOOR,2,85.55,171.1,Month-to-month,1
3489-HHPFY,2,84.05,168.1,Month-to-month,0
2545-EBUPK,2,84.05,168.1,Month-to-month,0
6407-UTSLV,2,83.8,167.6,Month-to-month,0
7314-OXENN,2,82.0,164.0,Month-to-month,1
9050-IKDZA,2,81.5,163.0,Month-to-month,0
9878-TNQGW,2,80.95,161.9,Month-to-month,1
8183-ONMXC,2,80.75,161.5,Month-to-month,1
7760-OYPDY,2,80.65,161.3,Month-to-month,1
2868-SNELZ,2,80.6,161.2,Month-to-month,1
2737-YNGYW,2,80.55,161.1,Month-to-month,1
3130-ICDUP,2,80.55,161.1,Month-to-month,0
6923-JHPMP,2,80.45,160.9,Month-to-month,0
9689-PTNPG,2,80.25,160.5,Month-to-month,1
8086-OVPWV,2,80.2,160.4,Month-to-month,1
4529-CKBCL,2,80.2,160.4,Month-to-month,1
4741-WWJQZ,2,80.15,160.3,Month-to-month,0
4234-XTNEA,2,79.95,159.9,Month-to-month,0
5712-PTIWW,2,79.85,159.7,Month-to-month,1
1981-INRFU,2,79.75,159.5,Month-to-month,1
9317-WZPGV,2,79.75,159.5,Month-to-month,1
8642-GVWRF,2,79.7,159.4,Month-to-month,1
8943-URTMR,2,79.65,159.3,Month-to-month,1
4713-LZDRV,2,79.6,159.2,Month-to-month,1
3420-YJLQT,2,79.55,159.1,Month-to-month,0
3422-GALYP,2,79.45,158.9,Month-to-month,0
5561-NWEVX,2,79.2,158.4,Month-to-month,1
7198-GLXTC,2,79.0,158.0,Month-to-month,1
1304-NECVQ,2,78.55,157.1,Month-to-month,1
0637-KVDLV,2,76.5,153.0,Month-to-month,1
1597-FZREH,2,76.4,152.8,Month-to-month,1
7598-UAASY,2,76.4,152.8,Month-to-month,1
1618-CFHME,2,75.9,151.8,Month-to-month,1
5159-YFPKQ,2,75.8,151.6,Month-to-month,1
8433-WXGNA,2,75.7,151.4,Month-to-month,1
7817-BOQPW,2,75.55,151.1,Month-to-month,1
2516-VQRRV,2,75.45,150.9,Month-to-month,1
2080-GKCWQ,2,74.95,149.9,Month-to-month,0
6856-RAURS,2,74.9,149.8,Month-to-month,0
7571-YXDAD,2,74.9,149.8,Month-to-month,1
7235-NXZCP,2,74.85,149.7,Month-to-month,1
4770-UEZOX,2,74.75,149.5,Month-to-month,0
2761-OCIAX,2,74.7,149.4,Month-to-month,1
0388-EOPEX,2,74.4,148.8,Month-to-month,1
2880-FPNAE,2,74.2,148.4,Month-to-month,0
2983-ZANRP,2,73.55,147.1,Month-to-month,1
6221-AVQYL,2,73.25,146.5,Month-to-month,1
3295-YVUSR,2,72.6,145.2,Month-to-month,0
0508-OOLTO,2,71.65,143.3,Month-to-month,0
4450-DLLMH,2,71.3,142.6,Month-to-month,0
3721-CNEYS,2,70.95,141.9,Month-to-month,1
0685-MLYYM,2,70.75,141.5,Month-to-month,1
3866-MDTUB,2,70.75,141.5,Month-to-month,1
5028-GZLDO,2,70.7,141.4,Month-to-month,1
8835-VSDSE,2,70.7,141.4,Month-to-month,1
9237-HQITU,2,70.7,141.4,Month-to-month,1
3717-OEAUQ,2,70.7,141.4,Month-to-month,0
4342-HENTK,2,70.65,141.3,Month-to-month,1
2905-KFQUV,2,70.4,140.8,Month-to-month,0
4629-NRXKX,2,70.4,140.8,Month-to-month,1
7321-VGNKU,2,70.35,140.7,Month-to-month,0
5442-BHQNG,2,70.35,140.7,Month-to-month,0
5804-LEPIM,2,70.35,140.7,Month-to-month,1
9717-QEBGU,2,70.3,140.6,Month-to-month,0
3234-VKACU,2,70.3,140.6,Month-to-month,0
2260-USTRB,2,70.2,140.4,Month-to-month,1
7394-LWLYN,2,70.15,140.3,Month-to-month,0
5119-NZPTV,2,70.1,140.2,Month-to-month,0
7181-BQYBV,1,102.45,102.45,Month-to-month,1
5419-JPRRN,1,101.45,101.45,Month-to-month,1
7216-EWTRS,1,100.8,100.8,Month-to-month,1
3178-FESZO,1,100.25,100.25,Month-to-month,1
0107-YHINA,1,99.75,99.75,Month-to-month,1
1393-IMKZG,1,95.85,95.85,Month-to-month,0
6857-VWJDT,1,95.65,95.65,Month-to-month,1
6356-ELRKD,1,95.6,95.6,Month-to-month,1
0295-PPHDO,1,95.45,95.45,Month-to-month,1
5178-LMXOP,1,95.1,95.1,Month-to-month,1
0684-AOSIH,1,95.0,95.0,Month-to-month,1
4910-GMJOT,1,94.6,94.6,Month-to-month,1
9223-UCPVT,1,94.4,94.4,Month-to-month,1
9300-AGZNL,1,94.0,94.0,Month-to-month,1
8149-RSOUN,1,93.85,93.85,Month-to-month,1
9497-QCMMS,1,93.55,93.55,Month-to-month,1
6521-YYTYI,1,93.3,93.3,Month-to-month,1
3186-BAXNB,1,91.7,91.7,Month-to-month,1
3988-RQIXO,1,91.3,91.3,Month-to-month,1
9725-SCPZG,1,90.85,90.85,Month-to-month,1
5167-ZFFMM,1,90.85,90.85,Month-to-month,1
2725-KXXWT,1,90.75,90.75,Month-to-month,1
5797-APWZC,1,90.6,90.6,Month-to-month,1
8775-LHDJH,1,90.6,90.6,Month-to-month,1
7274-RTAPZ,1,90.55,90.55,Month-to-month,1
7294-TMAOP,1,90.55,90.55,Month-to-month,1
1941-HOSAM,1,90.1,90.1,Month-to-month,0
3027-ZTDHO,1,89.9,89.9,Month-to-month,1
0970-ETWGE,1,89.55,89.55,Month-to-month,1
4273-MBHYA,1,89.35,89.35,Month-to-month,0
1415-YFWLT,1,89.3,89.3,Month-to-month,1
7577-SWIFR,1,89.25,89.25,Month-to-month,0
3801-HMYNL,1,89.15,89.15,Month-to-month,1
1455-ESIQH,1,89.1,89.1,Month-to-month,1
3068-OMWZA,1,88.8,88.8,Month-to-month,1
3722-WPXTK,1,88.35,88.35,Month-to-month,1
8603-IJWDN,1,86.6,86.6,Month-to-month,1
4826-XTSOH,1,86.05,86.05,Month-to-month,1
4844-JJWUY,1,86.0,86.0,Month-to-month,1
3049-NDXFL,1,85.8,85.8,Month-to-month,1
5192-EBGOV,1,85.7,85.7,Month-to-month,1
0235-KGSLC,1,85.55,85.55,Month-to-month,1
5597-GLBUC,1,85.45,85.45,Month-to-month,1
9124-LHCJQ,1,85.45,85.45,Month-to-month,1
1069-XAIEM,1,85.05,85.05,Month-to-month,1
1628-BIZYP,1,85.0,85.0,Month-to-month,0
6230-BSUXY,1,85.0,85.0,Month-to-month,1
9282-IZGQK,1,85.0,85.0,Month-to-month,1
2202-CUYXZ,1,84.85,84.85,Month-to-month,1
6877-TJMBR,1,84.8,84.8,Month-to-month,1
7503-ZGUZJ,1,84.65,84.65,Month-to-month,1
4912-PIGUY,1,84.6,84.6,Month-to-month,0
8937-RDTHP,1,84.6,84.6,Month-to-month,1
7120-RFMVS,1,84.5,84.5,Month-to-month,1
2013-SGDXK,1,84.3,84.3,Month-to-month,1
2792-LSHWX,1,83.4,83.4,Month-to-month,0
0742-NXBGR,1,82.3,82.3,Month-to-month,1
2004-OCQXK,1,81.95,81.95,Month-to-month,1
6772-KSATR,1,81.7,81.7,Month-to-month,1
4614-NUVZD,1,81.1,81.1,Month-to-month,1
2018-QKYGT,1,81.05,81.05,Month-to-month,0
5275-SQEIZ,1,80.85,80.85,Month-to-month,1
6457-USBER,1,80.8,80.8,Month-to-month,1
7439-DKZTW,1,80.55,80.55,Month-to-month,0
0318-QUUOB,1,80.55,80.55,Month-to-month,1
2867-UIMSS,1,80.5,80.5,Month-to-month,1
7903-CMPEY,1,80.3,80.3,Month-to-month,1
5494-HECPR,1,80.25,80.25,Month-to-month,1
0137-OCGAB,1,80.2,80.2,Month-to-month,1
6086-ESGRL,1,80.15,80.15,Month-to-month,1
8821-XNHVZ,1,80.05,80.05,Month-to-month,1
1448-PWKYE,1,80.0,80.0,Month-to-month,1
9300-RENDD,1,79.95,79.95,Month-to-month,1
1285-OKIPP,1,79.9,79.9,Month-to-month,1
0495-RVCBF,1,79.7,79.7,Month-to-month,1
8058-INTPH,1,79.65,79.65,Month-to-month,1
7594-RQHXR,1,79.6,79.6,Month-to-month,1
5393-RXQSZ,1,79.6,79.6,Month-to-month,1
6618-RYATB,1,79.55,79.55,Month-to-month,1
1761-AEZZR,1,79.55,79.55,Month-to-month,1
9019-QVLZD,1,79.55,79.55,Month-to-month,1
2514-GINMM,1,79.5,79.5,Month-to-month,1
5919-TMRGD,1,79.35,79.35,Month-to-month,1
9507-EXLTT,1,79.35,79.35,Month-to-month,1
2868-MZAGQ,1,79.25,79.25,Month-to-month,1
6567-HOOPW,1,79.2,79.2,Month-to-month,1
2254-DLXRI,1,79.15,79.15,Month-to-month,0
7493-TPUWZ,1,79.15,79.15,Month-to-month,1
8580-AECUZ,1,79.1,79.1,Month-to-month,1
5960-WPXQM,1,79.05,79.05,Month-to-month,1
8740-CRYFY,1,78.95,78.95,Month-to-month,1
6372-RFVNS,1,78.8,78.8,Month-to-month,1
8945-GRKHX,1,78.65,78.65,Month-to-month,1
9885-CSMWE,1,78.45,78.45,Month-to-month,1
2777-PHDEI,1,78.05,78.05,Month-to-month,1
2609-IAICY,1,77.15,77.15,Month-to-month,1
9248-OJYKK,1,76.45,76.45,Month-to-month,1
3296-SILRA,1,76.4,76.4,Month-to-month,1
6910-HADCM,1,76.35,76.35,Month-to-month,1
9444-JTXHZ,1,76.2,76.2,Month-to-month,1
6960-HVYXR,1,76.0,76.0,Month-to-month,1
0231-LXVAP,1,75.9,75.9,Month-to-month,1
7595-EUIVN,1,75.8,75.8,Month-to-month,1
6894-LFHLY,1,75.75,75.75,Month-to-month,1
5196-SGOAK,1,75.7,75.7,Month-to-month,1
5043-TRZWM,1,75.55,75.55,Month-to-month,0
0817-HSUSE,1,75.5,75.5,Month-to-month,0
5834-ASPWA,1,75.45,75.45,Month-to-month,1
1746-TGTWV,1,75.35,75.35,Month-to-month,0
4988-IQIGL,1,75.35,75.35,Month-to-month,1
5054-IEXZT,1,75.35,75.35,Month-to-month,1
9787-XVQIU,1,75.3,75.3,Month-to-month,1
5564-NEMQO,1,75.3,75.3,Month-to-month,1
3627-FHKBK,1,75.3,75.3,Month-to-month,1
9940-RHLFB,1,75.3,75.3,Month-to-month,1
1452-VOQCH,1,75.1,75.1,Month-to-month,0
8816-VXNZD,1,75.1,75.1,Month-to-month,1
3276-HDUEG,1,75.05,75.05,Month-to-month,1
1157-BQCUW,1,74.95,74.95,Month-to-month,1
6358-LYNGM,1,74.9,74.9,Month-to-month,1
6996-KNSML,1,74.9,74.9,Month-to-month,1
5240-IJOQT,1,74.7,74.7,Month-to-month,1
9399-APLBT,1,74.7,74.7,Month-to-month,1
3765-JXVKY,1,74.7,74.7,Month-to-month,1
2424-WVHPL,1,74.7,74.7,Month-to-month,0
2024-BASKD,1,74.6,74.6,Month-to-month,1
3746-EUBYR,1,74.6,74.6,Month-to-month,1
1866-OBPNR,1,74.6,74.6,Month-to-month,0
7180-PISOG,1,74.5,74.5,Month-to-month,1
4415-IJZTP,1,74.5,74.5,Month-to-month,1
2982-IHMFT,1,74.45,74.45,Month-to-month,1
0723-DRCLG,1,74.45,74.45,Month-to-month,1
3551-HUAZH,1,74.4,74.4,Month-to-month,1
4102-OQUPX,1,74.4,74.4,Month-to-month,1
9840-EFJQB,1,74.35,74.35,Month-to-month,0
4274-OWWYO,1,74.35,74.35,Month-to-month,1
8372-JUXUI,1,74.35,74.35,Month-to-month,1
9894-EZEWG,1,74.3,74.3,Month-to-month,1
2468-SJFLM,1,74.3,74.3,Month-to-month,0
8775-ERLNB,1,74.3,74.3,Month-to-month,0
3707-GNWHM,1,74.25,74.25,Month-to-month,1
1833-VGRUM,1,74.2,74.2,Month-to-month,1
8985-OOPOS,1,74.1,74.1,One year,0
8687-BAFGU,1,74.0,74.0,Month-to-month,0
8473-VUVJN,1,73.65,73.65,Month-to-month,1
6390-DSAZX,1,73.6,73.6,Month-to-month,1
6513-EECDB,1,73.55,73.55,Month-to-month,1
9747-DDZOS,1,73.5,73.5,Month-to-month,1
1977-STDKI,1,73.0,73.0,Month-to-month,1
0021-IKXGC,1,72.1,72.1,Month-to-month,0
8380-PEFPE,1,71.65,71.65,Month-to-month,1
8644-XLFBW,1,71.65,71.65,Month-to-month,1
6140-QNRQQ,1,71.55,71.55,Month-to-month,1
3177-LASXD,1,71.35,71.35,Month-to-month,1
8042-JVNFH,1,71.35,71.35,Month-to-month,1
3878-AVSOQ,1,71.25,71.25,Month-to-month,0
9488-HGMJH,1,71.15,71.15,Month-to-month,1
0511-JTEOY,1,71.1,71.1,Month-to-month,1
8040-MNRTF,1,71.1,71.1,Month-to-month,0
3422-LYEPQ,1,71.0,71.0,Month-to-month,1
7409-KIUTL,1,71.0,71.0,Month-to-month,1
0151-ONTOV,1,70.9,70.9,Month-to-month,1
1031-IIDEO,1,70.85,70.85,Month-to-month,1
0812-WUPTB,1,70.85,70.85,Month-to-month,1
0968-GSIKN,1,70.8,70.8,Month-to-month,1
0519-XUZJU,1,70.75,70.75,Month-to-month,1
5032-MIYKT,1,70.7,70.7,Month-to-month,0
1122-JWTJW,1,70.65,70.65,Month-to-month,1
9617-INGJY,1,70.6,70.6,Month-to-month,0
5376-DEQCP,1,70.6,70.6,Month-to-month,1
