customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,gender_encoded,contract_encoded,internetservice_encoded,paymentmethod_encoded,total_value,is_high_value,is_high_risk,avg_monthly_total,business_anomaly_score,is_business_anomaly
6689-VRRTK,Female,1,0,0,44,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),109.8,4860.35,0,0,1,2,3,4831.2,1,0,110.4625,-0.004937022407236147,1
2469-DTSGX,Female,1,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,111.65,7943.45,0,0,2,2,0,8038.8,1,0,110.32569444444444,-0.005085906244023608,1
5099-BAILX,Male,1,1,1,43,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),110.75,4687.9,1,1,0,2,2,4762.25,1,0,109.02093023255811,-0.009064588684817187,1
2499-AJYUA,Female,1,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),110.8,7882.25,0,0,2,2,3,7977.599999999999,1,0,109.47569444444444,-0.00429934008304822,1
6919-ELBGL,Male,1,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.95,8196.4,0,1,2,2,2,8276.4,1,0,113.83888888888887,-0.04863024353281409,1
8823-RLPWL,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),110.65,8065.65,0,0,2,2,3,7966.8,1,0,112.02291666666666,-0.010713968240872673,1
0691-IFBQW,Female,1,0,0,46,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,110.0,4874.8,1,0,1,2,0,5060.0,1,0,105.97391304347826,-0.0010716775348046381,1
2798-NYLMZ,Male,0,1,0,71,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),108.55,7616.0,0,1,2,2,3,7707.05,1,0,107.26760563380282,-0.0019992188718499504,1
6007-TCTST,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),115.8,8476.5,0,0,2,2,2,8337.6,1,0,117.72916666666669,-0.06930123067029736,1
8975-SKGRX,Male,0,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),116.1,8310.55,0,1,2,2,2,8243.1,1,0,117.04999999999998,-0.06516173719090157,1
0835-JKADZ,Female,0,0,0,71,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,111.25,7984.15,0,0,2,2,0,7898.75,1,0,112.45281690140844,-0.015181058507114376,1
6445-TNRXS,Male,0,1,1,68,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.7,7849.85,0,1,2,2,2,7799.6,1,0,115.43897058823528,-0.0406563282996556,1
4829-ZLJTK,Female,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,112.4,8046.85,0,0,2,2,0,8092.8,1,0,111.76180555555555,-0.014384010539201575,1
4361-BKAXE,Female,0,0,0,41,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),114.5,4527.45,1,0,0,2,2,4694.5,1,0,110.42560975609756,-0.03115142989977915,1
1779-PWPMG,Female,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.65,8333.95,0,0,2,2,2,8254.800000000001,1,0,115.74930555555557,-0.056379800824648774,1
1282-IHQAC,Male,1,0,0,70,0,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,1,Credit card (automatic),44.05,3011.65,0,1,1,1,3,3083.5,1,0,43.02357142857143,-0.0002932135971580596,1
9127-FHJBZ,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,114.0,8093.15,0,1,2,2,0,8208.0,1,0,112.4048611111111,-0.033931447618163246,1
8480-PPONV,Male,0,1,1,62,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),115.55,7159.05,0,1,2,2,2,7164.099999999999,1,0,115.46854838709676,-0.04102812523164545,1
2388-LAESQ,Female,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.85,8317.95,0,0,2,2,2,8269.199999999999,1,0,115.52708333333334,-0.056379800824648774,1
1291-CUOCY,Male,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),110.6,7962.2,0,1,2,2,3,7963.2,1,0,110.58611111111112,-0.00429934008304822,1
0201-OAMXR,Female,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.55,8127.6,1,0,1,2,3,8088.5,1,0,116.10857142857144,-0.05012419917474098,1
6599-RCLCJ,Male,0,1,0,47,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,109.55,5124.55,1,1,0,2,0,5148.849999999999,1,0,109.03297872340426,-0.001469051803107413,1
7130-YXBRO,Male,0,1,0,48,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),111.45,5315.1,0,1,0,2,2,5349.6,1,0,110.73125,-0.0017011557002251099,1
3870-SPZSI,Female,0,1,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),113.05,7869.05,0,0,2,2,3,7913.5,1,0,112.415,-0.025545873857302115,1
5514-YQENT,Male,0,0,1,41,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,111.15,4507.15,0,1,2,2,0,4557.150000000001,1,0,109.93048780487804,-0.01596098792407641,1
3584-WKTTW,Male,0,1,0,51,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,111.55,5720.35,0,1,1,2,0,5689.05,1,0,112.16372549019609,-0.0037268744065062087,1
9659-QEQSY,Female,0,0,0,45,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,115.65,5125.5,0,0,0,2,0,5204.25,1,0,113.9,-0.038523067454005466,1
9158-VCTQB,Female,0,1,0,41,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),113.6,4594.95,1,0,0,2,2,4657.599999999999,1,0,112.0719512195122,-0.02677866997079592,1
7359-WWYJV,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),114.45,8375.05,0,1,2,2,3,8240.4,1,0,116.32013888888888,-0.05299200221084455,1
2040-XBAVJ,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),114.45,8100.55,0,1,2,2,2,8240.4,1,0,112.50763888888888,-0.033931447618163246,1
3963-RYFNS,Female,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),116.45,8013.55,0,0,2,2,2,8384.4,1,0,111.29930555555556,-0.04650878690384941,1
1320-REHCS,Male,1,0,0,52,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,110.75,5832.0,0,1,0,2,0,5759.0,1,0,112.15384615384616,-0.003943403334332296,1
3669-WHAFY,Female,0,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),115.15,8078.1,0,0,2,2,3,8175.650000000001,1,0,113.77605633802816,-0.03915446974016945,1
7279-BUYWN,Female,1,0,0,41,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,113.2,4689.5,1,0,0,2,0,4641.2,1,0,114.3780487804878,-0.025941326167805423,1
9637-CDTKZ,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),114.1,8086.4,0,1,2,2,3,8215.199999999999,1,0,112.3111111111111,-0.033931447618163246,1
7409-JURKQ,Female,0,1,0,53,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),111.8,5809.75,0,0,1,2,2,5925.4,1,0,109.61792452830188,-0.006942965237250798,1
1488-PBLJN,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),116.85,8477.7,0,0,2,2,2,8413.199999999999,1,0,117.74583333333334,-0.07598111309845901,1
8984-HPEMB,Female,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,118.65,8477.6,0,0,2,2,0,8424.15,1,0,119.40281690140846,-0.08012922408026257,1
8894-JVDCV,Female,0,0,0,62,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),115.05,7133.45,0,0,1,2,3,7133.099999999999,1,0,115.05564516129031,-0.037608029507416596,1
8879-XUAHX,Male,0,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,116.25,8564.75,0,1,2,2,0,8253.75,1,0,120.63028169014083,-0.07472754274684834,1
7176-WRTNX,Male,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.95,7711.25,0,1,2,2,2,8046.5,1,0,110.16071428571428,-0.032955268565631246,1
9239-GZHZE,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),113.65,8124.2,0,0,2,2,3,8182.8,1,0,112.83611111111112,-0.03023939686110022,1
2266-SJNAT,Female,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),109.15,7789.6,0,0,1,2,3,7858.8,1,0,108.1888888888889,-0.0010132647046604548,1
4304-TSPVK,Female,0,1,0,68,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),114.9,7843.55,0,0,2,2,2,7813.200000000001,1,0,115.34632352941176,-0.04232905352962413,1
6650-BWFRT,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),117.15,8529.5,0,0,2,2,3,8434.800000000001,1,0,118.46527777777776,-0.07952281718337262,1
6993-YGFJV,Male,0,1,0,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),112.55,7806.5,0,1,2,2,2,7765.95,1,0,113.1376811594203,-0.02242113588522887,1
0013-SMEOE,Female,1,1,0,71,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.7,7904.25,0,0,2,2,2,7788.7,1,0,111.3274647887324,-0.00810023056197684,1
5236-PERKL,Female,0,0,0,57,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),112.95,6465.0,1,0,2,2,2,6438.150000000001,1,0,113.42105263157896,-0.01612503037729529,1
9802-CAQUT,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),109.55,7887.25,0,0,2,2,3,7887.599999999999,1,0,109.54513888888889,-0.0007850391035064685,1
7602-MVRMB,Female,0,1,1,72,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.45,8058.85,0,0,2,2,2,7952.400000000001,1,0,111.92847222222224,-0.008217429302585844,1
8869-LIHMK,Female,0,0,0,64,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),115.1,7334.05,0,0,2,2,2,7366.4,1,0,114.59453125,-0.026044079633192885,1
8670-ERCJH,Male,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),113.4,8164.1,0,1,2,2,2,8164.8,1,0,113.39027777777778,-0.03200467443709498,1
7055-JCGNI,Female,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),111.95,7795.95,0,0,2,2,3,7836.5,1,0,111.37071428571429,-0.01822911912630032,1
8263-QMNTJ,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,115.55,8425.3,0,1,2,2,0,8319.6,1,0,117.01805555555556,-0.06624948797916674,1
5945-AZYHT,Male,0,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,109.6,7854.15,0,1,1,2,0,7781.599999999999,1,0,110.6218309859155,-0.006461493401915486,1
0164-APGRB,Female,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,114.9,8496.7,0,0,2,2,0,8272.800000000001,1,0,118.00972222222224,-0.06799157094618813,1
0907-HQNTS,Female,1,1,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),113.0,7987.6,0,0,2,2,3,7910.0,1,0,114.10857142857144,-0.03307161986731921,1
8454-AATJP,Female,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),115.05,8405.0,0,0,2,2,3,8283.6,1,0,116.73611111111111,-0.06471102653087435,1
8628-MFKAX,Female,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.75,8277.05,0,0,2,2,3,8406.0,1,0,114.95902777777776,-0.06465912327882373,1
1229-RCALF,Female,0,1,0,64,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,115.0,7396.15,0,0,1,2,0,7360.0,1,0,115.56484375,-0.026128187805931402,1
4016-BJKTZ,Female,0,0,0,25,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,108.9,2809.05,0,0,2,2,0,2722.5,1,0,112.362,-0.0005018906405864776,1
0536-ACXIP,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,109.55,8165.1,0,0,2,2,0,7887.599999999999,1,0,113.40416666666668,-0.018811143150615495,1
7923-IYJWY,Male,1,0,0,67,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.1,7839.85,0,1,2,2,3,7778.7,1,0,117.01268656716418,-0.046574056433909106,1
0106-UGRDO,Female,0,1,0,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,116.0,8182.85,0,0,2,2,0,8004.0,1,0,118.59202898550726,-0.06203414824776743,1
7740-BTPUX,Male,1,1,0,55,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,113.6,6292.7,0,1,2,2,0,6248.0,1,0,114.41272727272728,-0.012280621153850979,1
7663-CUXZB,Male,0,1,0,59,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,113.75,6561.25,0,1,2,2,0,6711.25,1,0,111.20762711864408,-0.014875714261375128,1
9786-IJYDL,Female,0,0,0,35,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,113.2,3914.05,0,0,2,2,1,3962.0,1,0,111.83,-0.0010387102504969548,1
6295-OSINB,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,109.65,7880.25,0,1,2,2,0,7894.8,1,0,109.44791666666669,-0.0011758106065237195,1
7317-GGVPB,Male,0,1,0,71,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),108.6,7690.9,1,1,2,2,3,7710.599999999999,1,0,108.3225352112676,-0.004099583014913977,1
5038-ETMLM,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),113.65,8182.75,0,0,2,2,2,8182.8,1,0,113.64930555555556,-0.036429269676404585,1
3810-DVDQQ,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),117.6,8308.9,0,0,2,2,2,8467.199999999999,1,0,115.40138888888887,-0.0681393787857213,1
8853-TZDGH,Female,0,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,8012.75,0,0,2,2,2,8035.2,1,0,111.28819444444444,-0.011509220376589968,1
4282-MSACW,Male,0,0,0,68,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),117.2,8035.95,0,1,1,2,3,7969.6,1,0,118.17573529411764,-0.060269876964026414,1
0136-IFMYD,Male,1,1,0,69,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,109.95,7634.25,0,1,2,2,0,7586.55,1,0,110.6413043478261,-1.5672155041279723e-05,1
4806-DXQCE,Female,1,1,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,113.65,7714.65,0,0,2,2,0,7955.5,1,0,110.20928571428573,-0.02439776237596636,1
2368-GAKKQ,Female,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),113.65,7939.25,0,0,2,2,2,7955.5,1,0,113.41785714285714,-0.029162788994703592,1
0748-RDGGM,Male,0,1,0,70,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),109.5,7534.65,1,1,1,2,2,7665.0,1,0,107.63785714285714,-0.002419712985653688,1
0378-CJKPV,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),112.1,7965.95,0,0,2,2,3,8071.2,1,0,110.63819444444444,-0.006267752961583883,1
1053-MXTTK,Female,0,1,1,72,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),108.65,7726.35,0,0,2,2,2,7822.8,1,0,107.31041666666668,-0.0012682844477549526,1
3258-SYSWS,Male,1,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),113.8,7845.8,0,1,2,2,2,8193.6,1,0,108.96944444444443,-0.02461376642335744,1
2587-EKXTS,Male,0,0,0,44,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,111.5,4915.15,0,1,0,2,0,4906.0,1,0,111.70795454545454,-0.013944180039473508,1
7134-HBPBS,Female,1,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),108.1,7774.05,0,0,2,2,2,7783.2,1,0,107.97291666666666,-0.0018066187221374985,1
9351-HXDMR,Male,0,1,0,72,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),110.9,8240.85,0,1,2,2,3,7984.8,1,0,114.45625,-0.02902565842753657,1
9481-IEBZY,Male,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),112.9,8061.5,0,1,0,2,3,8128.8,1,0,111.96527777777776,-0.02140520087048048,1
6710-HSJRD,Male,0,1,0,61,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,114.1,7132.15,0,1,0,2,0,6960.099999999999,1,0,116.92049180327868,-0.03626856300134096,1
2403-BCASL,Male,1,1,1,41,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,111.95,4534.9,1,1,1,2,0,4589.95,1,0,110.60731707317072,-0.01738925301343497,1
2223-GDSHL,Male,0,1,1,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),116.05,8297.5,0,1,2,2,2,8239.55,1,0,116.8661971830986,-0.06516173719090157,1
3886-CERTZ,Female,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,109.25,8109.8,1,0,1,2,0,7866.0,1,0,112.63611111111112,-0.009802331825902288,1
5989-AXPUC,Female,0,1,0,68,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,118.6,7990.05,0,0,2,2,1,8064.799999999999,1,0,117.50073529411765,-0.058197568070394,1
