lead_age_days,email_opens,website_visits,demo_requested,pricing_page_visits,company_size,industry,lead_source,response_time_hours,num_interactions,budget_indicated,decision_maker,converted,conversion_probability,lead_score,lead_grade
89,18,32,1,4,4,0,1,9,13,0,0,1,0.86,86.0,Very Hot
60,1,45,1,1,4,2,1,62,12,0,1,0,0.17,17.0,Cold
41,13,4,0,1,2,1,0,26,2,1,1,0,0.0,0.0,
29,3,42,0,5,1,4,3,57,26,1,1,1,0.94,94.0,Very Hot
15,15,47,0,7,1,3,2,37,15,1,0,1,0.98,98.0,Very Hot
45,19,33,0,0,4,3,0,16,14,0,0,0,0.14,14.0,Cold
65,13,39,0,5,3,1,1,37,25,0,0,1,0.94,94.0,Very Hot
89,14,10,0,1,2,1,2,24,10,0,0,0,0.0,0.0,
71,2,49,0,1,2,1,0,26,22,0,1,0,0.44,44.0,Warm
9,7,2,1,6,1,2,2,20,8,0,0,0,0.02,2.0,Cold
88,15,32,1,9,4,1,1,9,25,0,1,1,0.97,97.0,Very Hot
1,9,10,0,0,1,0,2,29,15,0,0,0,0.01,1.0,Cold
8,3,15,1,5,1,4,2,31,13,0,1,0,0.05,5.0,Cold
88,17,17,0,6,4,1,1,19,8,0,0,0,0.02,2.0,Cold
63,1,29,0,7,3,2,2,20,21,1,0,0,0.16,16.0,Cold
11,16,47,0,6,2,4,0,27,21,1,1,1,0.98,98.0,Very Hot
81,12,9,0,5,3,3,2,44,22,1,0,0,0.03,3.0,Cold
8,3,17,0,8,4,1,3,35,14,0,0,0,0.01,1.0,Cold
35,10,37,0,2,4,4,0,71,1,0,0,0,0.05,5.0,Cold
35,6,18,1,5,2,3,2,22,13,1,1,1,0.68,68.0,Hot
33,11,35,1,3,3,2,3,15,27,0,1,1,0.87,87.0,Very Hot
5,9,12,0,1,2,0,3,13,8,1,1,0,0.02,2.0,Cold
41,6,45,1,0,1,1,3,4,18,0,1,1,0.88,88.0,Very Hot
28,12,2,0,0,1,0,2,56,22,1,1,0,0.04,4.0,Cold
7,6,9,0,9,1,2,1,23,9,1,1,0,0.06,6.0,Cold
73,16,37,0,2,3,4,3,34,13,1,1,1,0.82,82.0,Very Hot
72,9,0,0,3,1,4,1,17,3,1,1,0,0.02,2.0,Cold
12,9,26,0,1,2,2,0,28,18,0,0,0,0.01,1.0,Cold
34,3,45,0,0,3,2,1,14,10,0,1,0,0.12,12.0,Cold
33,19,7,0,3,2,1,1,34,5,0,1,0,0.04,4.0,Cold
48,3,45,1,6,4,3,1,57,27,0,0,1,0.79,79.0,Very Hot
23,6,41,0,9,3,0,1,55,25,0,0,1,0.92,92.0,Very Hot
62,0,16,0,5,2,0,1,66,6,0,0,0,0.0,0.0,
88,11,8,0,5,2,4,0,37,8,1,0,0,0.03,3.0,Cold
37,12,5,0,8,3,4,0,68,24,0,0,0,0.09,9.0,Cold
44,9,42,0,1,4,1,1,26,7,0,0,0,0.09,9.0,Cold
86,14,24,1,3,3,2,1,61,21,0,0,0,0.16,16.0,Cold
35,12,38,0,4,1,0,3,67,18,0,1,0,0.33,33.0,Warm
65,8,48,0,0,1,1,0,52,14,0,0,0,0.08,8.0,Cold
47,8,27,0,7,4,4,2,18,15,1,0,1,0.27,27.0,Warm
78,14,32,0,7,2,4,0,53,10,0,0,0,0.46,46.0,Warm
3,9,36,0,5,2,0,2,63,26,0,1,1,0.89,89.0,Very Hot
1,9,8,0,4,2,4,3,53,21,0,0,0,0.01,1.0,Cold
5,7,17,1,7,3,4,1,27,12,0,0,0,0.09,9.0,Cold
14,15,20,0,2,3,3,3,31,7,1,1,0,0.04,4.0,Cold
27,16,1,0,2,4,2,1,1,28,0,0,0,0.15,15.0,Cold
9,4,42,0,1,1,4,0,6,28,0,0,1,0.81,81.0,Very Hot
79,3,37,0,4,2,3,1,11,7,0,0,0,0.07,7.0,Cold
15,17,39,0,2,1,1,2,34,11,1,1,1,0.7,70.0,Hot
42,18,35,1,2,3,4,2,63,13,0,1,1,0.77,77.0,Very Hot
77,3,49,0,5,3,1,3,53,15,1,1,1,0.86,86.0,Very Hot
51,6,42,0,7,3,4,0,18,18,0,0,1,0.9,90.0,Very Hot
63,9,36,0,1,1,0,2,21,7,0,1,0,0.07,7.0,Cold
52,17,14,0,3,4,3,3,19,6,1,0,0,0.02,2.0,Cold
4,18,27,0,6,4,3,0,4,23,0,0,1,0.87,87.0,Very Hot
23,3,17,0,0,3,0,0,29,11,0,0,0,0.01,1.0,Cold
15,9,33,0,0,2,2,3,25,8,0,1,0,0.06,6.0,Cold
43,0,21,0,9,1,3,2,56,20,0,0,0,0.04,4.0,Cold
29,17,10,1,6,3,1,2,63,1,1,1,0,0.14,14.0,Cold
36,4,12,0,6,1,3,3,27,8,0,1,0,0.0,0.0,
13,14,3,0,0,1,2,2,60,8,1,0,0,0.0,0.0,
32,16,21,0,0,4,1,3,49,19,0,0,0,0.02,2.0,Cold
71,2,6,0,3,3,1,2,65,3,0,0,0,0.0,0.0,
59,11,42,0,4,4,0,2,38,5,1,0,0,0.53,53.0,Hot
86,1,23,0,4,3,4,3,52,3,0,0,0,0.0,0.0,
28,0,3,0,3,1,0,3,1,15,0,1,0,0.01,1.0,Cold
66,16,27,0,7,4,4,2,40,14,0,0,0,0.17,17.0,Cold
42,15,14,0,6,1,0,3,21,21,0,1,0,0.09,9.0,Cold
45,4,0,0,8,3,4,2,15,15,1,0,0,0.01,1.0,Cold
62,14,2,1,6,2,3,1,50,24,0,1,0,0.12,12.0,Cold
57,2,13,0,9,4,1,0,48,17,0,1,0,0.02,2.0,Cold
6,6,37,0,0,4,4,0,32,18,1,1,0,0.09,9.0,Cold
28,10,49,0,6,1,3,2,49,2,0,1,1,0.86,86.0,Very Hot
28,9,0,0,0,1,2,0,68,12,0,0,0,0.0,0.0,
44,8,37,0,6,2,0,2,45,16,0,0,0,0.12,12.0,Cold
84,13,37,0,9,4,2,3,32,4,1,1,1,0.91,91.0,Very Hot
30,12,20,1,7,3,3,1,4,25,1,1,1,0.94,94.0,Very Hot
62,1,47,0,8,3,2,0,65,2,1,1,1,0.63,63.0,Hot
75,2,28,0,2,4,2,0,71,28,0,0,0,0.04,4.0,Cold
89,6,4,0,3,4,3,3,65,14,1,0,0,0.01,1.0,Cold
62,17,48,0,3,4,1,1,18,11,0,0,1,0.88,88.0,Very Hot
1,2,9,0,8,2,4,1,54,13,0,1,0,0.11,11.0,Cold
27,9,27,1,6,3,0,1,47,28,1,1,1,0.98,98.0,Very Hot
62,6,20,0,2,3,4,3,6,25,0,1,0,0.02,2.0,Cold
77,8,49,1,9,1,0,0,66,7,0,1,1,0.93,93.0,Very Hot
3,16,6,1,4,1,4,0,9,10,1,1,1,0.67,67.0,Hot
70,10,2,1,6,4,2,1,68,24,1,1,0,0.08,8.0,Cold
72,6,44,0,7,1,1,3,23,1,0,0,0,0.22,22.0,Cold
27,13,46,0,0,2,2,3,43,29,0,1,1,0.93,93.0,Very Hot
9,18,19,0,1,3,1,3,51,21,0,0,0,0.03,3.0,Cold
62,3,18,0,6,3,3,1,25,25,0,1,0,0.09,9.0,Cold
37,5,34,0,1,1,0,3,35,28,0,0,0,0.22,22.0,Cold
51,9,3,1,6,4,0,1,17,4,0,1,0,0.06,6.0,Cold
44,6,4,0,8,1,3,1,18,18,1,1,0,0.02,2.0,Cold
24,12,0,0,1,4,4,1,27,6,0,1,0,0.03,3.0,Cold
79,13,3,0,6,2,3,2,15,2,0,1,0,0.02,2.0,Cold
59,3,11,0,3,3,3,1,69,3,0,1,0,0.0,0.0,
32,7,26,0,1,2,1,3,15,14,0,1,0,0.0,0.0,
88,4,41,1,6,3,3,2,42,8,0,0,0,0.22,22.0,Cold
52,0,22,0,4,2,0,0,34,16,1,1,0,0.02,2.0,Cold
62,3,24,1,0,1,2,0,48,19,1,0,0,0.05,5.0,Cold
58,2,20,1,4,2,1,3,8,18,0,1,0,0.06,6.0,Cold
52,8,23,1,2,2,1,3,10,6,1,1,0,0.07,7.0,Cold
12,7,24,0,6,1,4,3,5,14,0,1,0,0.17,17.0,Cold
39,0,44,1,5,3,2,3,48,3,1,1,1,0.54,54.0,Hot
2,5,45,0,7,3,1,2,26,16,0,1,1,0.94,94.0,Very Hot
3,8,31,0,4,1,3,3,23,1,1,1,0,0.12,12.0,Cold
56,6,31,0,1,2,1,1,62,12,0,0,0,0.0,0.0,
81,3,4,0,8,2,1,0,13,14,0,1,0,0.02,2.0,Cold
59,12,35,0,7,2,1,3,9,19,1,1,1,0.99,99.0,Very Hot
2,16,45,0,5,4,4,1,20,22,0,0,1,0.96,96.0,Very Hot
2,1,41,0,9,3,1,3,57,19,0,1,1,0.91,91.0,Very Hot
54,4,48,1,6,2,1,1,24,9,0,1,1,0.9,90.0,Very Hot
87,11,41,0,8,3,4,2,33,7,1,1,1,0.97,97.0,Very Hot
1,7,38,0,6,2,2,0,20,14,0,1,1,0.91,91.0,Very Hot
19,5,15,0,2,1,0,0,60,5,0,0,0,0.0,0.0,
2,7,32,0,5,1,4,2,48,18,1,0,1,0.5,50.0,Warm
53,17,48,1,6,3,4,1,64,9,0,1,1,0.95,95.0,Very Hot
44,2,20,0,1,3,1,3,30,21,0,1,0,0.01,1.0,Cold
32,11,8,0,2,1,1,1,17,7,1,1,0,0.01,1.0,Cold
70,2,5,0,3,4,0,0,14,9,1,0,0,0.0,0.0,
32,5,44,1,9,1,1,2,19,4,1,1,1,0.95,95.0,Very Hot
68,1,34,0,5,2,3,2,71,25,0,1,0,0.14,14.0,Cold
55,11,38,1,0,4,1,1,59,17,0,0,0,0.37,37.0,Warm
75,1,21,0,8,1,1,1,67,12,1,0,0,0.02,2.0,Cold
56,5,40,0,4,4,3,2,44,6,1,0,0,0.09,9.0,Cold
17,16,4,0,6,4,0,0,32,18,1,0,0,0.12,12.0,Cold
38,2,41,1,8,4,3,3,11,8,0,0,1,0.95,95.0,Very Hot
24,1,22,0,8,3,4,3,2,21,0,0,0,0.08,8.0,Cold
69,19,16,0,0,1,3,1,68,15,0,1,0,0.01,1.0,Cold
70,7,11,0,0,3,2,2,17,3,1,0,0,0.01,1.0,Cold
86,11,22,0,2,3,4,2,40,2,0,0,0,0.0,0.0,
11,3,15,0,5,2,1,2,46,24,0,0,0,0.04,4.0,Cold
16,4,2,1,1,2,4,0,4,23,0,0,0,0.1,10.0,Cold
73,12,29,0,9,4,0,1,38,9,0,1,1,0.56,56.0,Hot
59,14,21,0,0,4,0,1,63,8,0,0,0,0.0,0.0,
70,15,8,1,0,2,3,1,29,27,1,1,0,0.11,11.0,Cold
80,9,28,0,4,2,4,0,19,4,0,1,0,0.0,0.0,
3,15,46,0,3,1,1,1,29,2,0,0,1,0.84,84.0,Very Hot
20,11,36,0,0,4,0,3,35,14,0,1,0,0.09,9.0,Cold
59,16,22,0,3,4,1,1,70,29,1,1,1,0.8,80.0,Very Hot
36,15,12,0,2,2,2,1,23,2,1,0,0,0.0,0.0,
19,11,31,0,1,1,0,1,46,2,1,1,0,0.04,4.0,Cold
67,7,45,0,8,2,3,0,44,27,1,1,1,0.99,99.0,Very Hot
19,19,46,0,0,2,2,3,48,28,0,1,1,0.91,91.0,Very Hot
20,2,47,1,6,3,4,3,52,22,1,0,1,0.91,91.0,Very Hot
71,15,22,1,3,4,1,2,8,7,1,1,1,0.74,74.0,Hot
52,12,44,1,4,1,0,2,55,12,0,0,1,0.81,81.0,Very Hot
33,18,16,1,9,3,2,3,66,6,0,0,0,0.12,12.0,Cold
40,7,39,0,4,4,2,1,40,18,1,0,1,0.41,41.0,Warm
39,4,20,1,0,2,0,1,31,4,1,1,0,0.07,7.0,Cold
82,19,1,0,5,1,4,1,48,19,0,1,0,0.17,17.0,Cold
1,7,36,0,8,4,4,0,61,27,1,0,1,0.91,91.0,Very Hot
11,11,5,0,1,2,3,1,52,13,0,0,0,0.01,1.0,Cold
57,0,43,0,6,3,4,0,38,20,0,1,0,0.22,22.0,Cold
89,19,17,1,5,1,3,3,36,21,1,1,1,0.82,82.0,Very Hot
50,5,29,1,4,4,2,1,55,23,0,0,0,0.15,15.0,Cold
23,17,21,0,3,3,0,1,13,25,1,1,1,0.7,70.0,Hot
31,7,32,1,3,2,4,2,37,27,0,0,1,0.88,88.0,Very Hot
42,6,29,0,5,2,3,3,47,2,0,1,0,0.07,7.0,Cold
7,0,16,0,3,4,2,1,71,8,0,1,0,0.02,2.0,Cold
16,15,42,0,4,2,4,0,22,19,0,0,1,0.84,84.0,Very Hot
60,11,31,0,5,1,1,3,39,9,0,1,0,0.03,3.0,Cold
2,5,41,1,4,4,2,2,58,26,1,1,1,0.88,88.0,Very Hot
1,19,13,1,6,3,4,3,30,28,0,0,1,0.78,78.0,Very Hot
48,1,9,1,8,4,2,0,18,4,0,0,0,0.03,3.0,Cold
12,13,46,0,9,4,0,2,18,16,0,0,1,0.95,95.0,Very Hot
69,3,35,1,6,3,0,0,39,19,1,0,1,0.93,93.0,Very Hot
37,0,33,0,6,2,0,3,26,10,0,1,0,0.08,8.0,Cold
32,17,8,1,3,3,1,2,71,6,0,0,0,0.01,1.0,Cold
9,12,41,0,0,1,0,0,7,16,0,1,1,0.78,78.0,Very Hot
19,1,27,0,7,2,1,3,69,10,0,0,0,0.0,0.0,
48,8,10,0,3,4,0,0,65,13,0,1,0,0.01,1.0,Cold
80,1,13,0,0,2,2,1,46,9,1,0,0,0.0,0.0,
3,8,38,0,4,2,4,3,18,7,1,0,1,0.78,78.0,Very Hot
20,0,46,0,7,1,4,2,13,4,0,0,0,0.22,22.0,Cold
24,10,18,0,3,2,0,2,25,19,1,1,0,0.07,7.0,Cold
54,2,14,0,7,2,4,1,8,26,1,0,0,0.02,2.0,Cold
33,19,27,0,7,2,0,0,32,4,1,0,1,0.79,79.0,Very Hot
24,3,23,0,2,4,0,0,17,19,1,1,0,0.02,2.0,Cold
75,17,7,0,8,2,3,2,48,28,1,1,1,0.83,83.0,Very Hot
72,5,42,0,2,3,3,0,63,19,0,1,0,0.06,6.0,Cold
36,2,8,0,0,2,3,3,40,12,0,0,0,0.0,0.0,
38,10,46,1,1,1,1,3,15,13,0,0,1,0.83,83.0,Very Hot
84,14,32,1,5,2,3,2,6,25,1,1,1,0.99,99.0,Very Hot
89,4,32,0,9,2,0,3,63,4,0,0,0,0.05,5.0,Cold
25,19,18,1,1,4,2,2,8,25,0,0,1,0.74,74.0,Hot
18,9,2,1,5,3,3,0,32,28,0,0,0,0.23,23.0,Cold
82,11,9,1,0,2,3,0,45,10,1,1,0,0.06,6.0,Cold
66,14,39,0,0,3,2,0,52,21,1,0,0,0.15,15.0,Cold
54,16,46,0,4,1,0,1,13,7,0,1,1,0.77,77.0,Very Hot
35,9,41,0,9,4,1,2,24,5,0,0,1,0.88,88.0,Very Hot
80,5,0,0,8,3,3,3,40,17,1,1,0,0.05,5.0,Cold
61,17,28,0,7,4,2,0,14,18,0,1,1,0.94,94.0,Very Hot
41,12,49,0,2,2,0,1,70,11,0,0,0,0.04,4.0,Cold
33,2,33,1,2,1,4,3,62,15,0,0,0,0.1,10.0,Cold
68,9,12,1,0,4,1,3,61,21,1,1,0,0.12,12.0,Cold
33,13,0,0,2,2,2,3,1,22,0,0,0,0.05,5.0,Cold
14,5,33,0,0,3,2,0,66,7,0,1,0,0.02,2.0,Cold
21,2,28,0,7,1,2,3,32,18,1,1,1,0.79,79.0,Very Hot
48,15,47,1,0,1,3,2,13,26,0,1,1,0.87,87.0,Very Hot
20,6,46,0,4,3,4,1,33,25,0,0,1,0.97,97.0,Very Hot
8,19,12,0,8,3,1,3,32,6,0,0,0,0.14,14.0,Cold
7,13,47,0,6,1,0,3,56,18,1,1,1,0.93,93.0,Very Hot
67,8,48,0,3,4,0,2,24,16,0,0,0,0.13,13.0,Cold
17,14,28,0,8,1,4,3,4,2,1,1,1,0.93,93.0,Very Hot
33,2,38,0,8,3,2,0,23,19,1,1,1,0.88,88.0,Very Hot
48,1,23,1,1,4,2,0,29,1,1,0,0,0.02,2.0,Cold
76,1,25,1,9,2,2,0,21,25,1,0,1,0.89,89.0,Very Hot
59,2,16,1,9,1,2,3,30,26,1,0,1,0.46,46.0,Warm
86,17,6,1,5,3,2,1,20,11,1,1,0,0.09,9.0,Cold
22,13,12,0,3,2,4,1,16,20,1,0,0,0.05,5.0,Cold
30,19,4,0,7,1,3,3,67,5,1,0,0,0.01,1.0,Cold
38,17,25,1,6,1,1,1,49,16,1,1,1,0.84,84.0,Very Hot
51,9,48,1,6,4,2,1,58,23,0,0,1,0.89,89.0,Very Hot
54,1,2,0,9,3,3,3,44,1,0,0,0,0.01,1.0,Cold
8,0,6,0,8,2,0,0,25,19,0,0,0,0.03,3.0,Cold
27,3,48,0,4,1,4,3,23,14,1,1,1,0.82,82.0,Very Hot
27,13,38,0,5,4,3,0,59,3,1,0,0,0.1,10.0,Cold
21,0,0,0,0,2,2,0,1,2,0,1,0,0.0,0.0,
30,13,48,0,5,2,2,1,15,24,0,1,1,0.97,97.0,Very Hot
28,15,16,0,1,1,2,1,52,5,0,1,0,0.03,3.0,Cold
64,13,42,0,5,2,3,0,58,17,0,1,1,0.66,66.0,Hot
69,19,24,1,8,1,2,0,41,28,1,0,1,0.87,87.0,Very Hot
61,2,2,0,7,4,3,1,44,18,0,0,0,0.02,2.0,Cold
48,2,14,0,8,4,2,2,4,1,0,0,0,0.06,6.0,Cold
19,8,28,0,9,2,0,0,68,15,0,1,1,0.82,82.0,Very Hot
4,5,42,1,7,1,0,0,7,22,0,0,1,0.92,92.0,Very Hot
35,12,31,0,2,3,1,0,46,9,1,0,0,0.04,4.0,Cold
64,1,25,1,7,4,2,1,9,27,0,0,1,0.81,81.0,Very Hot
49,7,15,0,5,1,2,3,33,23,1,0,0,0.04,4.0,Cold
17,1,24,1,5,1,3,0,33,5,0,1,0,0.15,15.0,Cold
44,3,27,1,5,1,3,0,4,28,0,1,1,0.91,91.0,Very Hot
30,14,8,0,2,2,2,0,65,13,1,0,0,0.01,1.0,Cold
46,3,0,0,9,3,1,3,34,19,1,1,0,0.24,24.0,Cold
6,12,28,0,0,2,2,3,64,28,0,0,0,0.17,17.0,Cold
37,11,21,0,3,4,3,0,25,28,0,1,0,0.17,17.0,Cold
24,12,15,0,9,2,2,0,55,24,0,1,1,0.78,78.0,Very Hot
46,13,40,0,5,1,3,2,9,10,1,0,1,0.89,89.0,Very Hot
53,19,43,0,9,2,2,3,17,20,0,0,1,0.98,98.0,Very Hot
60,17,40,0,1,1,4,2,21,25,0,1,1,0.93,93.0,Very Hot
63,5,6,0,6,3,3,0,60,21,1,1,0,0.01,1.0,Cold
85,10,13,0,6,2,1,0,13,14,0,1,0,0.0,0.0,
32,1,28,0,3,2,4,0,3,22,0,1,0,0.05,5.0,Cold
87,18,18,0,3,2,2,0,68,21,0,1,0,0.06,6.0,Cold
33,18,18,0,0,1,3,1,4,26,1,1,1,0.78,78.0,Very Hot
67,4,1,0,1,1,4,1,7,12,0,1,0,0.0,0.0,
18,18,40,1,8,2,1,1,26,11,1,0,1,0.98,98.0,Very Hot
25,1,44,0,9,2,3,2,24,23,0,1,1,0.94,94.0,Very Hot
54,9,14,0,7,3,4,3,10,7,1,1,0,0.07,7.0,Cold
58,1,2,0,7,3,4,0,13,17,0,1,0,0.01,1.0,Cold
67,10,10,1,8,4,4,3,44,18,0,0,0,0.14,14.0,Cold
46,17,45,1,6,3,0,1,39,7,1,0,1,0.98,98.0,Very Hot
24,14,29,1,8,3,2,0,19,24,1,1,1,0.99,99.0,Very Hot
32,8,39,0,9,3,3,0,51,20,1,1,1,0.94,94.0,Very Hot
47,18,17,0,1,1,3,2,19,6,1,1,0,0.02,2.0,Cold
86,8,47,0,5,3,3,3,52,11,0,0,0,0.41,41.0,Warm
23,2,1,0,2,3,4,2,47,12,0,0,0,0.0,0.0,
66,8,31,1,5,2,2,1,30,26,0,0,1,0.93,93.0,Very Hot
27,13,7,0,2,1,1,3,46,16,1,1,0,0.0,0.0,
2,18,21,1,7,4,3,1,21,19,0,0,1,0.93,93.0,Very Hot
17,6,5,0,3,4,2,2,48,23,1,1,0,0.02,2.0,Cold
33,15,11,1,9,3,2,2,62,27,0,0,1,0.49,49.0,Warm
9,15,46,0,5,4,0,0,58,19,1,1,1,0.91,91.0,Very Hot
43,0,39,0,8,4,3,3,18,11,0,1,1,0.86,86.0,Very Hot
48,3,35,0,1,4,4,3,59,16,0,1,0,0.03,3.0,Cold
39,3,14,0,1,3,2,0,48,23,1,0,0,0.0,0.0,
42,6,27,0,6,4,2,3,63,28,0,1,0,0.6,60.0,Hot
